EnvFac	EnvFacLong	TimeGroup	GP	values
Sulfate	Sulfate concentration (mM)	D00	Control	32.29
Sulfate	Sulfate concentration (mM)	D00	Control	27.31
Sulfate	Sulfate concentration (mM)	D00	Control	24.99
Sulfate	Sulfate concentration (mM)	D00	Control	32.39
Sulfate	Sulfate concentration (mM)	D00	Control	29.65
Sulfate	Sulfate concentration (mM)	D00	Control	34.07
Sulfate	Sulfate concentration (mM)	D00	Treat	33.76
Sulfate	Sulfate concentration (mM)	D00	Treat	34.01
Sulfate	Sulfate concentration (mM)	D00	Treat	NA
Sulfate	Sulfate concentration (mM)	D00	Treat	40.81
Sulfate	Sulfate concentration (mM)	D00	Treat	NA
Sulfate	Sulfate concentration (mM)	D00	Treat	22.22
Sulfate	Sulfate concentration (mM)	D05	Control	35.19
Sulfate	Sulfate concentration (mM)	D05	Control	26.04
Sulfate	Sulfate concentration (mM)	D05	Control	26.34
Sulfate	Sulfate concentration (mM)	D05	Control	25.45
Sulfate	Sulfate concentration (mM)	D05	Control	30.52
Sulfate	Sulfate concentration (mM)	D05	Control	27.35
Sulfate	Sulfate concentration (mM)	D05	Treat	13.35
Sulfate	Sulfate concentration (mM)	D05	Treat	35.24
Sulfate	Sulfate concentration (mM)	D05	Treat	17.15
Sulfate	Sulfate concentration (mM)	D05	Treat	NA
Sulfate	Sulfate concentration (mM)	D05	Treat	NA
Sulfate	Sulfate concentration (mM)	D05	Treat	NA
Sulfate	Sulfate concentration (mM)	D12	Control	7.09
Sulfate	Sulfate concentration (mM)	D12	Control	7.13
Sulfate	Sulfate concentration (mM)	D12	Control	2.69
Sulfate	Sulfate concentration (mM)	D12	Control	6.85
Sulfate	Sulfate concentration (mM)	D12	Control	6.24
Sulfate	Sulfate concentration (mM)	D12	Control	10.86
Sulfate	Sulfate concentration (mM)	D12	Treat	21.91
Sulfate	Sulfate concentration (mM)	D12	Treat	36.77
Sulfate	Sulfate concentration (mM)	D12	Treat	NA
Sulfate	Sulfate concentration (mM)	D12	Treat	38.30
Sulfate	Sulfate concentration (mM)	D12	Treat	29.35
Sulfate	Sulfate concentration (mM)	D12	Treat	NA
Sulfate	Sulfate concentration (mM)	D21	Control	NA
Sulfate	Sulfate concentration (mM)	D21	Control	1.55
Sulfate	Sulfate concentration (mM)	D21	Control	1.57
Sulfate	Sulfate concentration (mM)	D21	Control	1.57
Sulfate	Sulfate concentration (mM)	D21	Control	1.47
Sulfate	Sulfate concentration (mM)	D21	Control	1.74
Sulfate	Sulfate concentration (mM)	D21	Treat	NA
Sulfate	Sulfate concentration (mM)	D21	Treat	NA
Sulfate	Sulfate concentration (mM)	D21	Treat	33.72
Sulfate	Sulfate concentration (mM)	D21	Treat	34.60
Sulfate	Sulfate concentration (mM)	D21	Treat	33.57
Sulfate	Sulfate concentration (mM)	D21	Treat	34.61
Sulfate	Sulfate concentration (mM)	D30	Control	1.67
Sulfate	Sulfate concentration (mM)	D30	Control	2.15
Sulfate	Sulfate concentration (mM)	D30	Control	NA
Sulfate	Sulfate concentration (mM)	D30	Control	1.71
Sulfate	Sulfate concentration (mM)	D30	Control	1.52
Sulfate	Sulfate concentration (mM)	D30	Control	1.60
Sulfate	Sulfate concentration (mM)	D30	Treat	23.61
Sulfate	Sulfate concentration (mM)	D30	Treat	34.39
Sulfate	Sulfate concentration (mM)	D30	Treat	36.21
Sulfate	Sulfate concentration (mM)	D30	Treat	34.00
Sulfate	Sulfate concentration (mM)	D30	Treat	31.36
Sulfate	Sulfate concentration (mM)	D30	Treat	28.05
Sulfite	Sulfite concentration (mM)	D00	Control	1.98
Sulfite	Sulfite concentration (mM)	D00	Control	1.52
Sulfite	Sulfite concentration (mM)	D00	Control	1.88
Sulfite	Sulfite concentration (mM)	D00	Control	2.06
Sulfite	Sulfite concentration (mM)	D00	Control	1.67
Sulfite	Sulfite concentration (mM)	D00	Control	1.56
Sulfite	Sulfite concentration (mM)	D00	Treat	2.78
Sulfite	Sulfite concentration (mM)	D00	Treat	2.20
Sulfite	Sulfite concentration (mM)	D00	Treat	1.49
Sulfite	Sulfite concentration (mM)	D00	Treat	3.81
Sulfite	Sulfite concentration (mM)	D00	Treat	1.89
Sulfite	Sulfite concentration (mM)	D00	Treat	2.02
Sulfite	Sulfite concentration (mM)	D05	Control	0.00
Sulfite	Sulfite concentration (mM)	D05	Control	0.00
Sulfite	Sulfite concentration (mM)	D05	Control	0.00
Sulfite	Sulfite concentration (mM)	D05	Control	0.00
Sulfite	Sulfite concentration (mM)	D05	Control	0.00
Sulfite	Sulfite concentration (mM)	D05	Control	0.00
Sulfite	Sulfite concentration (mM)	D05	Treat	0.00
Sulfite	Sulfite concentration (mM)	D05	Treat	0.00
Sulfite	Sulfite concentration (mM)	D05	Treat	0.00
Sulfite	Sulfite concentration (mM)	D05	Treat	0.00
Sulfite	Sulfite concentration (mM)	D05	Treat	0.00
Sulfite	Sulfite concentration (mM)	D05	Treat	0.00
Sulfite	Sulfite concentration (mM)	D12	Control	0.00
Sulfite	Sulfite concentration (mM)	D12	Control	0.00
Sulfite	Sulfite concentration (mM)	D12	Control	0.00
Sulfite	Sulfite concentration (mM)	D12	Control	0.00
Sulfite	Sulfite concentration (mM)	D12	Control	0.00
Sulfite	Sulfite concentration (mM)	D12	Control	NA
Sulfite	Sulfite concentration (mM)	D12	Treat	0.00
Sulfite	Sulfite concentration (mM)	D12	Treat	0.00
Sulfite	Sulfite concentration (mM)	D12	Treat	0.00
Sulfite	Sulfite concentration (mM)	D12	Treat	0.00
Sulfite	Sulfite concentration (mM)	D12	Treat	0.00
Sulfite	Sulfite concentration (mM)	D12	Treat	0.00
Sulfite	Sulfite concentration (mM)	D21	Control	0.69
Sulfite	Sulfite concentration (mM)	D21	Control	1.88
Sulfite	Sulfite concentration (mM)	D21	Control	2.11
Sulfite	Sulfite concentration (mM)	D21	Control	0.36
Sulfite	Sulfite concentration (mM)	D21	Control	0.27
Sulfite	Sulfite concentration (mM)	D21	Control	0.00
Sulfite	Sulfite concentration (mM)	D21	Treat	0.00
Sulfite	Sulfite concentration (mM)	D21	Treat	0.00
Sulfite	Sulfite concentration (mM)	D21	Treat	0.00
Sulfite	Sulfite concentration (mM)	D21	Treat	0.00
Sulfite	Sulfite concentration (mM)	D21	Treat	0.00
Sulfite	Sulfite concentration (mM)	D21	Treat	0.00
Sulfite	Sulfite concentration (mM)	D30	Control	1.11
Sulfite	Sulfite concentration (mM)	D30	Control	1.51
Sulfite	Sulfite concentration (mM)	D30	Control	NA
Sulfite	Sulfite concentration (mM)	D30	Control	1.69
Sulfite	Sulfite concentration (mM)	D30	Control	0.47
Sulfite	Sulfite concentration (mM)	D30	Control	1.80
Sulfite	Sulfite concentration (mM)	D30	Treat	0.00
Sulfite	Sulfite concentration (mM)	D30	Treat	0.00
Sulfite	Sulfite concentration (mM)	D30	Treat	0.00
Sulfite	Sulfite concentration (mM)	D30	Treat	0.00
Sulfite	Sulfite concentration (mM)	D30	Treat	0.00
Sulfite	Sulfite concentration (mM)	D30	Treat	0.00
TOC	TOC concentration (mg/L)	D00	Control	789.00
TOC	TOC concentration (mg/L)	D00	Control	803.00
TOC	TOC concentration (mg/L)	D00	Control	800.67
TOC	TOC concentration (mg/L)	D00	Control	756.67
TOC	TOC concentration (mg/L)	D00	Control	781.33
TOC	TOC concentration (mg/L)	D00	Control	814.00
TOC	TOC concentration (mg/L)	D00	Treat	825.00
TOC	TOC concentration (mg/L)	D00	Treat	793.33
TOC	TOC concentration (mg/L)	D00	Treat	895.67
TOC	TOC concentration (mg/L)	D00	Treat	848.33
TOC	TOC concentration (mg/L)	D00	Treat	885.67
TOC	TOC concentration (mg/L)	D00	Treat	909.00
TOC	TOC concentration (mg/L)	D05	Control	684.33
TOC	TOC concentration (mg/L)	D05	Control	781.00
TOC	TOC concentration (mg/L)	D05	Control	658.00
TOC	TOC concentration (mg/L)	D05	Control	722.33
TOC	TOC concentration (mg/L)	D05	Control	788.33
TOC	TOC concentration (mg/L)	D05	Control	665.00
TOC	TOC concentration (mg/L)	D05	Treat	740.67
TOC	TOC concentration (mg/L)	D05	Treat	776.67
TOC	TOC concentration (mg/L)	D05	Treat	777.00
TOC	TOC concentration (mg/L)	D05	Treat	821.67
TOC	TOC concentration (mg/L)	D05	Treat	788.67
TOC	TOC concentration (mg/L)	D05	Treat	674.33
TOC	TOC concentration (mg/L)	D12	Control	595.67
TOC	TOC concentration (mg/L)	D12	Control	520.00
TOC	TOC concentration (mg/L)	D12	Control	543.33
TOC	TOC concentration (mg/L)	D12	Control	630.67
TOC	TOC concentration (mg/L)	D12	Control	605.67
TOC	TOC concentration (mg/L)	D12	Control	633.67
TOC	TOC concentration (mg/L)	D12	Treat	797.33
TOC	TOC concentration (mg/L)	D12	Treat	654.33
TOC	TOC concentration (mg/L)	D12	Treat	750.00
TOC	TOC concentration (mg/L)	D12	Treat	694.00
TOC	TOC concentration (mg/L)	D12	Treat	731.00
