VFAs	VFAsLong	TimeGroup	GP	values
Acetate	Acetate concentation (μM)	D00	Control	574.67
Acetate	Acetate concentation (μM)	D00	Control	737.17
Acetate	Acetate concentation (μM)	D00	Control	358.00
Acetate	Acetate concentation (μM)	D00	Control	394.17
Acetate	Acetate concentation (μM)	D00	Treat	574.67
Acetate	Acetate concentation (μM)	D00	Treat	737.17
Acetate	Acetate concentation (μM)	D00	Treat	358.00
Acetate	Acetate concentation (μM)	D00	Treat	394.17
Acetate	Acetate concentation (μM)	D05	Control	589.83
Acetate	Acetate concentation (μM)	D05	Control	575.33
Acetate	Acetate concentation (μM)	D05	Control	342.50
Acetate	Acetate concentation (μM)	D05	Control	677.00
Acetate	Acetate concentation (μM)	D05	Treat	1159.15
Acetate	Acetate concentation (μM)	D05	Treat	920.17
Acetate	Acetate concentation (μM)	D05	Treat	890.79
Acetate	Acetate concentation (μM)	D05	Treat	774.55
Acetate	Acetate concentation (μM)	D12	Control	91.17
Acetate	Acetate concentation (μM)	D12	Control	119.67
Acetate	Acetate concentation (μM)	D12	Control	125.00
Acetate	Acetate concentation (μM)	D12	Control	80.67
Acetate	Acetate concentation (μM)	D12	Treat	611.52
Acetate	Acetate concentation (μM)	D12	Treat	600.89
Acetate	Acetate concentation (μM)	D12	Treat	796.15
Acetate	Acetate concentation (μM)	D12	Treat	412.84
Acetate	Acetate concentation (μM)	D21	Control	135.50
Acetate	Acetate concentation (μM)	D21	Control	147.33
Acetate	Acetate concentation (μM)	D21	Control	103.17
Acetate	Acetate concentation (μM)	D21	Control	123.33
Acetate	Acetate concentation (μM)	D21	Treat	734.37
Acetate	Acetate concentation (μM)	D21	Treat	607.50
Acetate	Acetate concentation (μM)	D21	Treat	495.04
Acetate	Acetate concentation (μM)	D21	Treat	601.43
Acetate	Acetate concentation (μM)	D30	Control	94.50
Acetate	Acetate concentation (μM)	D30	Control	43.83
Acetate	Acetate concentation (μM)	D30	Control	27.33
Acetate	Acetate concentation (μM)	D30	Control	131.50
Acetate	Acetate concentation (μM)	D30	Treat	667.00
Acetate	Acetate concentation (μM)	D30	Treat	499.26
Acetate	Acetate concentation (μM)	D30	Treat	517.66
Acetate	Acetate concentation (μM)	D30	Treat	1165.04
Propionate	Propionate concentation (μM)	D00	Control	23.51
Propionate	Propionate concentation (μM)	D00	Control	31.89
Propionate	Propionate concentation (μM)	D00	Control	10.68
Propionate	Propionate concentation (μM)	D00	Control	16.89
Propionate	Propionate concentation (μM)	D00	Treat	23.51
Propionate	Propionate concentation (μM)	D00	Treat	31.89
Propionate	Propionate concentation (μM)	D00	Treat	10.68
Propionate	Propionate concentation (μM)	D00	Treat	16.89
Propionate	Propionate concentation (μM)	D05	Control	38.38
Propionate	Propionate concentation (μM)	D05	Control	45.68
Propionate	Propionate concentation (μM)	D05	Control	28.65
Propionate	Propionate concentation (μM)	D05	Control	46.89
Propionate	Propionate concentation (μM)	D05	Treat	97.06
Propionate	Propionate concentation (μM)	D05	Treat	78.98
Propionate	Propionate concentation (μM)	D05	Treat	66.09
Propionate	Propionate concentation (μM)	D05	Treat	64.02
Propionate	Propionate concentation (μM)	D12	Control	15.95
Propionate	Propionate concentation (μM)	D12	Control	20.00
Propionate	Propionate concentation (μM)	D12	Control	17.57
Propionate	Propionate concentation (μM)	D12	Control	16.22
Propionate	Propionate concentation (μM)	D12	Treat	52.89
Propionate	Propionate concentation (μM)	D12	Treat	42.63
Propionate	Propionate concentation (μM)	D12	Treat	77.42
Propionate	Propionate concentation (μM)	D12	Treat	23.01
Propionate	Propionate concentation (μM)	D21	Control	13.38
Propionate	Propionate concentation (μM)	D21	Control	15.68
Propionate	Propionate concentation (μM)	D21	Control	12.30
Propionate	Propionate concentation (μM)	D21	Control	11.62
Propionate	Propionate concentation (μM)	D21	Treat	66.32
Propionate	Propionate concentation (μM)	D21	Treat	56.73
Propionate	Propionate concentation (μM)	D21	Treat	35.46
Propionate	Propionate concentation (μM)	D21	Treat	49.27
Propionate	Propionate concentation (μM)	D30	Control	15.41
Propionate	Propionate concentation (μM)	D30	Control	9.05
Propionate	Propionate concentation (μM)	D30	Control	9.59
Propionate	Propionate concentation (μM)	D30	Control	17.03
Propionate	Propionate concentation (μM)	D30	Treat	67.61
Propionate	Propionate concentation (μM)	D30	Treat	42.81
Propionate	Propionate concentation (μM)	D30	Treat	55.39
Propionate	Propionate concentation (μM)	D30	Treat	134.03
Isobutyrate	Isobutyrate concentration (μM)	D00	Control	3.07
Isobutyrate	Isobutyrate concentration (μM)	D00	Control	4.89
Isobutyrate	Isobutyrate concentration (μM)	D00	Control	NA
Isobutyrate	Isobutyrate concentration (μM)	D00	Control	2.39
Isobutyrate	Isobutyrate concentration (μM)	D00	Treat	3.07
Isobutyrate	Isobutyrate concentration (μM)	D00	Treat	4.89
Isobutyrate	Isobutyrate concentration (μM)	D00	Treat	NA
