Bins	Phylum	abundace	Hos	DL
Bin1	Myxococcota	0.0149318443001337	-0.000531119422398965	0.0111996915688384
Bin2	Myxococcota	0.0198936579844936	-0.000238273790284675	0.0145475286937076
Bin3	Myxococcota	0.48337926585647	-0.201838455108763	0.0951961918531112
Bin4	Other	0.0639922223037326	-0.00184243367995734	0.0422613450760218
Bin5	Other	0.0487500707450034	0.00161471207964016	0.0274175656423339
Bin6	Myxococcota	0.0220182584518185	-0.00437436707459647	0.0173042196623467
Bin7	Other	0.0276539430634622	-0.000466888819515347	-0.0198952125851707
Bin8	Desulfobacterota	2.01148596170246	0.000353243548918639	-3.59269130568271
Bin9	Bdellovibrionota	0.0622138325808557	0.00124974312644689	0.0410458473036366
Bin10	Desulfobacterota	0.400357710804514	-0.0886539503807076	-0.0210373764276331
Bin11	Desulfobacterota	0.181918936044349	0.12225888959693	-0.0966880870294756
Bin12	Bdellovibrionota	0.014615566271956	-0.000644848909604014	0.00639350587332227
Bin13	Desulfobacterota	0.106424859106009	0.0127480520791346	-0.0960852511800316
Bin14	Desulfobacterota	4.46082234871999	-5.9745313122009	-2.04206922610295
Bin15	Other	0.00712070563959037	6.72199184717582e-05	-0.00146488490989119
Bin16	Bdellovibrionota	0.0079135798111845	0.000257235165951976	0.00712830278296605
Bin17	Other	0.897900146398608	-0.855447176535106	-0.219363096524788
Bin18	Bacteroidota	0.0764339387501412	0.000849359643968749	0.0156575856735726
Bin19	Bacteroidota	0.0219502760843869	0.000161665325205613	0.00603015369133918
Bin20	Bacteroidota	3.27757613230721	-5.55475876458578	0.0329387242148273
Bin21	Bacteroidota	2.51311784487102	-0.147403307354851	-4.28132858975839
Bin22	Bacteroidota	0.0983976947141202	-1.99030747380495e-05	-0.116844574930048
Bin23	Bacteroidota	0.0956816694829923	0	0.0212597557074446
Bin24	Bacteroidota	0.058116193464252	-0.0200115255336791	0.0362713505693695
Bin25	Bacteroidota	0.0551605559707387	0.0199454326312864	0.00706599784556279
Bin26	Bacteroidota	0.0702792824536254	-9.62037303714346e-05	-0.00142460288411757
Bin27	Bacteroidota	7.02198488665153	2.94276842716083	3.92581297930538
Bin28	Bacteroidota	0.178755804461648	-0.0344017458233084	-0.016567511174819
Bin29	Bacteroidota	0.670396017265645	-0.362075635526333	0.415627168305645
Bin30	Bacteroidota	2.10628910231513	0	0.688552217972167
Bin31	Bacteroidota	2.05806091084294	-0.24929109484719	0.79054116346188
Bin32	Bacteroidota	1.20337691677286	-0.0691150261320728	-2.06449789776763
Bin33	Bacteroidota	0.491584754095849	0.00621276665884428	-0.741357645723126
Bin34	Bacteroidota	0.404899142816332	0.000828892474802055	-0.433965520874859
Bin35	Bacteroidota	0.377546531235612	-0.00982616271654638	-0.491426590265634
Bin36	Bacteroidota	1.41264981250007	0	-1.57638177475966
Bin37	Bacteroidota	0.296147541983046	3.7505290252477e-05	-0.316102386390248
Bin38	Bacteroidota	0.035079423995724	-0.000743672149189583	-0.00726502746554677
Bin39	Bacteroidota	0.125923738793408	-0.0485699363329501	0.0373737548641245
Bin40	Bacteroidota	0.185138490776426	0.0202936875622542	-0.0355664152725299
Bin41	Fusobacteriota	14.6672111628638	1.9578007370732	10.5406911203692
Bin42	Proteobacteria	0.0279252077739346	-2.17783858767491e-05	-0.0155258882930587
Bin43	Proteobacteria	0.173910512688331	0.0386550165385007	-0.122337780309191
Bin44	Proteobacteria	0.0521050052693755	-0.000227372086536028	0.0142090261056718
Bin45	Proteobacteria	0.953122247081711	0.854401876320668	-0.286132032041934
Bin46	Proteobacteria	0.13699762268575	-0.00854053075111525	0.122399600807057
Bin47	Proteobacteria	0.0769619980046402	-0.0509394436225785	0.00263673888582844
Bin48	Proteobacteria	0.0931881338107712	-0.000143893212998671	0.025003252901856
Bin49	Proteobacteria	0.251595432282509	0.107354081766741	-0.0402355073615011
Bin50	Proteobacteria	9.84295904676291	-5.22371436581318	2.74777977553215
Bin51	Proteobacteria	0.683796046678352	0.451771610627166	0.352810092391408
Bin52	Proteobacteria	0.994270659265108	1.47433045080076	0.320080399863001
Bin53	Proteobacteria	0.0184987081586691	-0.000710222516889118	-0.00946143339936298
Bin54	Proteobacteria	0.0559528095604027	0.0121320031480429	0.0461518429309497
Bin55	Proteobacteria	0.27596089428194	-0.000825314035929368	0.0225679055893883
Bin56	Proteobacteria	0.0955145911253735	-0.000216720573660086	-0.0578422480891672
Bin57	Proteobacteria	1.54739101197584	0.157230458650055	0
Bin58	Proteobacteria	0.045322794929407	-0.0199728530509466	0.00626682343845414
Bin59	Proteobacteria	0.139895298008283	-0.0150080856396535	-0.0323050105427159
Bin60	Proteobacteria	0.0240222746061226	0.000350733595154458	-0.01416803822171
Bin61	Proteobacteria	0.319774724103365	0.00241908077026477	-0.119342317355897
Bin62	Other	0.0713596692959082	0.0137390687474999	-0.0271327685787766
Bin63	Desulfobacterota	1.17910884168842	0	0.102938800137525
Bin64	Desulfobacterota	0.432036865838645	-0.662607278451905	0.0126698378615676
Bin65	Other	0.0267126200755949	-0.000111746386371586	0.0199143142955355
Bin66	Desulfobacterota	0.120733453237904	-0.00109158783672503	0.0473804374021423
Bin67	Desulfobacterota	0.0783790339816572	0.0100789662402293	-0.0341501833425799
Bin68	Other	0.0161402974107849	0.00675033358347644	0.00431376739551626
Bin69	Other	0.0246782436857417	0.000533540399028791	-0.00327073192332844
Bin70	Other	0.0697317589235167	-0.0189687765067768	-0.0358617779703274
Bin71	Other	0.0102683338735094	0.000269169932279635	0.00465947477799252
Bin72	Other	0.0218596536138624	0.000177128726300789	0.000756546357352927
Bin73	Acidobacteriota	0.0249459988171635	-0.000730710601470987	-0.000946448743412774
Bin74	Acidobacteriota	0.034793342465362	0.00608037431889562	0.0159654435874929
Bin75	Acidobacteriota	0.0826992137189522	0.00152933020339596	-0.00620509389003555
