OTUID	Phylum	phyLab
OTU1119	Desulfobacterota	OTU1119 (Desulfobacterota)
OTU1120	Desulfobacterota	OTU1120 (Desulfobacterota)
OTU1425	Chloroflexi	OTU1425 (Chloroflexi)
OTU1452	Patescibacteria	OTU1452 (Patescibacteria)
OTU1464	Acidobacteriota	OTU1464 (Acidobacteriota)
OTU1508	Proteobacteria	OTU1508 (Proteobacteria)
OTU1677	Desulfobacterota	OTU1677 (Desulfobacterota)
OTU1936	Desulfobacterota	OTU1936 (Desulfobacterota)
OTU2086	Desulfobacterota	OTU2086 (Desulfobacterota)
OTU2297	Acidobacteriota	OTU2297 (Acidobacteriota)
OTU2340	Desulfobacterota	OTU2340 (Desulfobacterota)
OTU2420	Bacteroidota	OTU2420 (Bacteroidota)
OTU2487	Patescibacteria	OTU2487 (Patescibacteria)
OTU2538	Actinobacteriota	OTU2538 (Actinobacteriota)
OTU2581	Actinobacteriota	OTU2581 (Actinobacteriota)
OTU2763	Bacteroidota	OTU2763 (Bacteroidota)
OTU2847	Cloacimonadota	OTU2847 (Cloacimonadota)
OTU3009	Bacteroidota	OTU3009 (Bacteroidota)
OTU3090	Firmicutes	OTU3090 (Firmicutes)
OTU3097	Bacteroidota	OTU3097 (Bacteroidota)
OTU3271	Bacteroidota	OTU3271 (Bacteroidota)
OTU3442	Bacteroidota	OTU3442 (Bacteroidota)
OTU3536	Bacteroidota	OTU3536 (Bacteroidota)
OTU3764	Firmicutes	OTU3764 (Firmicutes)
OTU3806	Bacteroidota	OTU3806 (Bacteroidota)
OTU3962	Acidobacteriota	OTU3962 (Acidobacteriota)
OTU3984	Bacteroidota	OTU3984 (Bacteroidota)
OTU3992	Bacteroidota	OTU3992 (Bacteroidota)
OTU4132	Bacteroidota	OTU4132 (Bacteroidota)
OTU4187	Desulfobacterota	OTU4187 (Desulfobacterota)
OTU4266	Bacteroidota	OTU4266 (Bacteroidota)
OTU4412	Bacteroidota	OTU4412 (Bacteroidota)
OTU442	Bacteroidota	OTU442 (Bacteroidota)
OTU455	Bacteroidota	OTU455 (Bacteroidota)
OTU4659	Desulfobacterota	OTU4659 (Desulfobacterota)
OTU4759	Bacteroidota	OTU4759 (Bacteroidota)
OTU4788	Desulfobacterota	OTU4788 (Desulfobacterota)
OTU4796	Firmicutes	OTU4796 (Firmicutes)
OTU4812	Bacteroidota	OTU4812 (Bacteroidota)
OTU4865	Desulfobacterota	OTU4865 (Desulfobacterota)
OTU4884	Bacteroidota	OTU4884 (Bacteroidota)
OTU5075	Sva0485	OTU5075 (Sva0485)
OTU5092	Patescibacteria	OTU5092 (Patescibacteria)
OTU5128	Actinobacteriota	OTU5128 (Actinobacteriota)
OTU5146	Bacteroidota	OTU5146 (Bacteroidota)
OTU5151	Proteobacteria	OTU5151 (Proteobacteria)
OTU5455	Proteobacteria	OTU5455 (Proteobacteria)
OTU5465	Proteobacteria	OTU5465 (Proteobacteria)
OTU5570	Actinobacteriota	OTU5570 (Actinobacteriota)
OTU5653	Proteobacteria	OTU5653 (Proteobacteria)
OTU5732	Actinobacteriota	OTU5732 (Actinobacteriota)
OTU6234	Proteobacteria	OTU6234 (Proteobacteria)
OTU6254	Firmicutes	OTU6254 (Firmicutes)
OTU6403	Bacteroidota	OTU6403 (Bacteroidota)
OTU6512	Firmicutes	OTU6512 (Firmicutes)
OTU6578	Proteobacteria	OTU6578 (Proteobacteria)
OTU6749	Firmicutes	OTU6749 (Firmicutes)
OTU6841	Proteobacteria	OTU6841 (Proteobacteria)
OTU6847	Actinobacteriota	OTU6847 (Actinobacteriota)
OTU7083	Bacteroidota	OTU7083 (Bacteroidota)
OTU7092	Actinobacteriota	OTU7092 (Actinobacteriota)
OTU7471	Bacteroidota	OTU7471 (Bacteroidota)
OTU7549	Campilobacterota	OTU7549 (Campilobacterota)
OTU7744	Bacteroidota	OTU7744 (Bacteroidota)
OTU7976	Chloroflexi	OTU7976 (Chloroflexi)
OTU8055	Actinobacteriota	OTU8055 (Actinobacteriota)
OTU8078	Bacteroidota	OTU8078 (Bacteroidota)
OTU8235	Desulfobacterota	OTU8235 (Desulfobacterota)
OTU8318	Actinobacteriota	OTU8318 (Actinobacteriota)
OTU8657	Actinobacteriota	OTU8657 (Actinobacteriota)
OTU8678	Actinobacteriota	OTU8678 (Actinobacteriota)
OTU8700	Proteobacteria	OTU8700 (Proteobacteria)
OTU8804	Actinobacteriota	OTU8804 (Actinobacteriota)
OTU925	Bacteroidota	OTU925 (Bacteroidota)
