OTUID	Both	OnlyC	OnlyM
OTU1119	B	NA	NA
OTU1120	NA	C	NA
OTU2086	B	NA	NA
OTU2340	B	NA	NA
OTU1677	B	NA	NA
OTU4187	NA	C	NA
OTU4659	NA	C	NA
OTU1425	B	NA	NA
OTU7976	B	NA	NA
OTU2538	B	NA	NA
OTU6847	B	NA	NA
OTU2581	B	NA	NA
OTU5128	B	NA	NA
OTU8055	B	NA	NA
OTU5570	B	NA	NA
OTU8804	B	NA	NA
OTU8678	B	NA	NA
OTU7092	B	NA	NA
OTU8657	B	NA	NA
OTU8318	B	NA	NA
OTU5732	B	NA	NA
OTU3090	NA	C	NA
OTU6749	B	NA	NA
OTU4796	NA	C	NA
OTU6254	NA	NA	M
OTU6512	NA	C	NA
OTU3764	B	NA	NA
OTU1452	B	NA	NA
OTU2487	B	NA	NA
OTU5092	B	NA	NA
OTU2420	NA	C	NA
OTU6403	B	NA	NA
OTU3536	B	NA	NA
OTU3806	B	NA	NA
OTU455	B	NA	NA
OTU7471	B	NA	NA
OTU7744	B	NA	NA
OTU3992	B	NA	NA
OTU4132	B	NA	NA
OTU442	B	NA	NA
OTU4412	B	NA	NA
OTU5146	B	NA	NA
OTU7083	B	NA	NA
OTU2763	NA	C	NA
OTU3097	NA	C	NA
OTU3442	NA	C	NA
OTU4759	NA	C	NA
OTU4812	B	NA	NA
OTU4884	NA	C	NA
OTU925	NA	C	NA
OTU8078	B	NA	NA
OTU3984	B	NA	NA
OTU3009	NA	C	NA
OTU4266	NA	C	NA
OTU3271	NA	C	NA
OTU2847	NA	C	NA
OTU7549	B	NA	NA
OTU1508	B	NA	NA
OTU6234	NA	NA	M
OTU5653	B	NA	NA
OTU5455	B	NA	NA
OTU5151	B	NA	NA
OTU6578	B	NA	NA
OTU5465	B	NA	NA
OTU6841	B	NA	NA
OTU8700	B	NA	NA
OTU1464	NA	C	NA
OTU2297	B	NA	NA
OTU3962	NA	NA	M
OTU5075	NA	NA	M
OTU4788	NA	C	NA
OTU4865	NA	C	NA
OTU8235	B	NA	NA
OTU1936	B	NA	NA
