TaxLevel	Taxs	P.adj	Diff	Cmean	Mmean	Groups	Log2Change
Genus	g_Fusobacterium	0.106304124548565	-1.67837762249973	16.9548457236624	22.4961668603163	T05C_vs_T05M	-0.408
Genus	g_Bacteroides	0.164723300186486	-1.42727431384769	9.17183575897186	11.9436219377779	T05C_vs_T05M	-0.381
Genus	g_Vibrio	0.073209983228381	-1.8528306323963	9.48981870764435	12.4726463348734	T05C_vs_T05M	-0.394
Genus	g_unclassified_f_Acidaminococcaceae	3.11004035589848e-12	-11.158728103488	1.94006596694904	12.7392168867148	T05C_vs_T05M	-2.715
Genus	g_Anaerostignum	1.11001805331952e-09	-9.03404998131426	3.9558151975933	10.3845086270671	T05C_vs_T05M	-1.392
Genus	g_Desulfobacter	2.44080272404962e-05	5.53511215571757	0.0539526919676521	0	T05C_vs_T05M	9.078
Genus	g_Sphaerochaeta	0.159034257429217	1.43658708587086	3.46570079250547	2.42661218406947	T05C_vs_T05M	0.514
Genus	g_Photobacterium	1.62427999852285e-06	-6.59464024084692	1.18918245320535	5.86442097080139	T05C_vs_T05M	-2.302
Genus	g_Marinifilum	6.15380034396674e-09	9.88236793630557	8.79406985653348	0.338564907945528	T05C_vs_T05M	4.699
Genus	g_JTB215	2.89498730576221e-10	11.9213523201503	2.91124363417098	0	T05C_vs_T05M	14.829
Genus	g_unclassified_c_Bacteroidia	4.99957251937e-06	6.23829768123807	0.174890562335474	0.0144257952491232	T05C_vs_T05M	3.591
Genus	g_Dethiosulfatibacter	0.0471872090661749	2.12221783318803	0.507323260222227	0	T05C_vs_T05M	12.309
Genus	g_norank_f_norank_o_Actinomarinales	0.23563465943548	-1.20518238161786	1.06715391508855	1.25718964151044	T05C_vs_T05M	-0.236
Genus	g_Desulfovibrio	1.16452435899494e-06	6.99245401299369	2.88535014117092	0	T05C_vs_T05M	14.817
Genus	g_Woeseia	0.083747802730055	-1.77599649705809	1.01565682962059	1.29109638748548	T05C_vs_T05M	-0.346
Genus	g_norank_f_Marinilabiliaceae	0.0237874938457889	2.39134516625372	0.0299487231489141	0.0144197845206914	T05C_vs_T05M	1.049
Genus	g_Muriicola	0.0687864221905745	-1.87453533953295	0.595151505984584	0.785416333798976	T05C_vs_T05M	-0.4
Genus	g_Propionigenium	0.00812662670274294	2.79541806221551	1.29044899866408	0.563350441209936	T05C_vs_T05M	1.196
Genus	g_Roseimarinus	5.78835853991759e-09	9.87950464707504	6.81835229110379	0.0831744454116277	T05C_vs_T05M	6.355
Genus	g_norank_f_Izemoplasmataceae	0.00124267119431404	-3.71328240796645	0.0063701175760119	0.0286105795525312	T05C_vs_T05M	-2.15
Genus	g_norank_f_Desulfocapsaceae	0.171309651919986	-1.39485895473774	0.599105750699508	0.747718500025823	T05C_vs_T05M	-0.32
Genus	g_Marinobacterium	0.0206439628460527	-2.41765309195079	0.212353755328592	0.333288194626906	T05C_vs_T05M	-0.65
Genus	g_Dethiosulfovibrio	1.16291645445972e-06	6.99314767285738	0.0614428093327393	0	T05C_vs_T05M	9.265
Genus	g_Arcticiflavibacter	0.00149229322374349	-3.43454728628378	0.420727077726821	0.715782474190599	T05C_vs_T05M	-0.766
Genus	g_unclassified_f_Clostridiaceae	7.51025404313978e-05	4.62587926307725	0.548112135027507	0.184923222302654	T05C_vs_T05M	1.567
Genus	g_norank_f_MSBL8	0.0889573458777955	1.75988216814638	0.00424542130516373	0.00189010967275696	T05C_vs_T05M	1.127
Genus	g_Robiginitalea	0.0011238880461878	-3.5451803016254	0.291070211113703	0.525172433389029	T05C_vs_T05M	-0.851
Genus	g_Ilumatobacter	0.0288995814644373	-2.27333507248111	0.378491513865332	0.539942916768713	T05C_vs_T05M	-0.512
Genus	g_norank_f_norank_o_JGI_0000069-P22	8.32114471742455e-05	4.64097716538647	0.0225908674414794	0.00330378815813656	T05C_vs_T05M	2.737
Genus	g_livecontrolB21	0.000129743916994972	4.78154523542621	0.0608996303572125	0	T05C_vs_T05M	9.253
Genus	g_Winogradskyella	5.15225860892669e-05	-4.68927397104529	0.257073291586094	0.57601335704634	T05C_vs_T05M	-1.164
Genus	g_norank_f_Marinifilaceae	5.52288198022749e-08	7.94351758033886	1.72312979833213	0.0646834488001318	T05C_vs_T05M	4.733
Genus	g_Izimaplasma	0.11207553778801	-1.63871534769948	0.0372479066186125	0.0521543378201173	T05C_vs_T05M	-0.485
Genus	g_Oceanirhabdus	3.97858650512685e-05	5.31199272086528	2.16848838885282	0.00450678714455139	T05C_vs_T05M	8.879
Genus	g_Shewanella	0.000566318766440331	-4.01028279399189	0.448879956562103	0.998291824530789	T05C_vs_T05M	-1.153
Genus	g_norank_f_Sandaracinaceae	0.0107589402818723	2.72024576469494	0.385003669009753	0.246922828004486	T05C_vs_T05M	0.641
Genus	g_Peptoclostridium	1.3213586619763e-07	8.12862785028795	0.335884349110235	0	T05C_vs_T05M	11.714
