Family	Taxs	D00C	D05C	D05M	D12C	D12M	D21C	D21M	D30C	D30M
f_Woeseiaceae	g_Woeseia	3.61103587296043	<0.5	<0.5	0.730054128240905	1.35771365610321	0.608206870586781	1.75801407496919	0.705207526815884	1.48887661146315
f_Vibrionaceae	g_Vibrio	25.8445980389911	<0.5	<0.5	1.21532104922905	3.61252362790817	0.834879163706474	2.72735883189093	0.615058483852677	2.16523436212085
f_Vibrionaceae	g_Photobacterium	14.2179599430751	1.18918245320535	5.86442097080139	<0.5	2.60017173106895	<0.5	2.8802605529916	<0.5	2.15286546991204
f_Synergistaceae	g_Dethiosulfovibrio	<0.5	<0.5	<0.5	1.53261275605	<0.5	2.53353523907979	<0.5	2.69382311166717	<0.5
f_Synergistaceae	g_u_f_Synergistaceae	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	1.7827548157893	<0.5
f_Spirochaetaceae	g_Sphaerochaeta	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	3.5804185302501	6.50668890776208
f_Spirochaetaceae	g_Sediminispirochaeta	<0.5	<0.5	<0.5	0.690974031013532	<0.5	0.6954661160952	<0.5	0.940591532724397	<0.5
f_Shewanellaceae	g_Shewanella	<0.5	<0.5	0.998291824530789	<0.5	0.608411545539838	<0.5	0.741937938075484	<0.5	0.844677345311038
f_Sedimentibacteraceae	g_Sedimentibacter	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	0.870132008014439
f_Prolixibacteraceae	g_Roseimarinus	<0.5	6.81835229110379	<0.5	0.671665042026926	<0.5	<0.5	<0.5	<0.5	<0.5
f_Prolixibacteraceae	g_Draconibacterium	<0.5	1.23166354089488	<0.5	0.751805002425596	<0.5	<0.5	<0.5	<0.5	<0.5
f_Prolixibacteraceae	g_Sunxiuqinia	<0.5	1.33413290537932	0.55866507410805	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5
f_Peptostreptococcaceae	g_Peptoclostridium	<0.5	<0.5	<0.5	1.46161128887052	<0.5	1.22640098520353	<0.5	1.14944690130257	<0.5
f_norank_o_Peptostreptococcales-Tissierellales	g_JTB215	<0.5	2.91124363417098	<0.5	8.84146873716748	<0.5	6.85187112390008	<0.5	6.01756599634331	0.674346680197824
f_norank_o_Peptostreptococcales-Tissierellales	g_Anaeromicrobium	<0.5	<0.5	<0.5	0.659378066297477	<0.5	<0.5	<0.5	<0.5	<0.5
f_Nocardiaceae	g_Rhodococcus	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	0.527423337014393
f_Marinifilaceae	g_Marinifilum	<0.5	8.79406985653348	<0.5	8.22067429999176	<0.5	5.59732170798509	<0.5	5.48357352364365	<0.5
f_Lachnospiraceae	g_Anaerostignum	<0.5	3.9558151975933	10.3845086270671	<0.5	12.5512370464429	<0.5	8.21424700658545	<0.5	8.87237684579448
f_Izemoplasmataceae	g_Izimaplasma	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	1.05187631993062	0.663412679417788	1.35676613832369
f_Ilumatobacteraceae	g_Ilumatobacter	1.70782958064476	<0.5	0.539942916768713	<0.5	0.503488084758118	<0.5	0.652261990403993	<0.5	0.530742453418473
f_Fusobacteriaceae	g_Fusobacterium	<0.5	<0.5	<0.5	5.94739341521628	22.6781359330295	7.03607020569612	18.0350462483902	3.89126671152205	19.9539601708874
f_Fusobacteriaceae	g_Propionigenium	4.37099627051166	1.29044899866408	0.563350441209936	1.67324234533059	<0.5	<0.5	<0.5	<0.5	<0.5
f_Fusobacteriaceae	g_Psychrilyobacter	0.698210573315789	<0.5	<0.5	0.581422929465865	<0.5	<0.5	<0.5	<0.5	<0.5
f_Flavobacteriaceae	g_Muriicola	3.07872535436022	<0.5	<0.5	0.543353024652245	1.11416660814463	<0.5	1.40713020875801	<0.5	1.22411425992394
f_Flavobacteriaceae	g_Arcticiflavibacter	1.75537521750942	<0.5	0.715782474190599	<0.5	0.898718053603588	<0.5	1.12974163208092	<0.5	1.04352018261197
f_Flavobacteriaceae	g_Robiginitalea	1.41015595942519	<0.5	0.525172433389029	<0.5	0.688765175549336	<0.5	0.879624959749529	<0.5	0.742003831076834
f_Flavobacteriaceae	g_Winogradskyella	1.20228274117513	<0.5	0.57601335704634	<0.5	0.631436916694181	<0.5	0.752717690103393	<0.5	0.601287149560838
f_Flavobacteriaceae	g_Actibacter	1.16981639816535	<0.5	<0.5	<0.5	<0.5	<0.5	0.5362720034762	<0.5	<0.5
f_Flavobacteriaceae	g_Aquibacter	0.796451360608651	<0.5	<0.5	<0.5	<0.5	<0.5	0.520894228423651	<0.5	<0.5
f_Dethiosulfatibacteraceae	g_Dethiosulfatibacter	<0.5	0.507323260222227	<0.5	9.42780883373627	<0.5	5.85821288924409	<0.5	5.34682115534989	<0.5
f_Desulfovibrionaceae	g_Desulfovibrio	<0.5	2.88535014117092	<0.5	2.27467880206471	<0.5	3.68311380118435	<0.5	4.84182992592712	<0.5
f_Desulfovibrionaceae	g_Halodesulfovibrio	<0.5	1.07001836786281	<0.5	0.985349288694726	<0.5	0.832543375034619	<0.5	0.815878958509843	<0.5
f_Desulfobulbaceae	g_Desulfobulbus	<0.5	<0.5	<0.5	1.17661640698568	<0.5	1.30579226201533	<0.5	0.689239127674507	<0.5
f_Desulfobacteraceae	g_Desulfobacter	<0.5	<0.5	<0.5	7.34531308519805	<0.5	13.7591946813091	<0.5	18.9591570621184	<0.5
f_Clostridiaceae	g_u_f_Clostridiaceae	<0.5	0.548112135027507	<0.5	<0.5	1.57740643458497	<0.5	1.29168953311868	<0.5	1.4335415387782
f_Clostridiaceae	g_Oceanirhabdus	<0.5	2.16848838885282	<0.5	1.05881278234946	<0.5	0.567655929581729	<0.5	<0.5	<0.5
f_Bacteroidaceae	g_Bacteroides	<0.5	<0.5	<0.5	2.05934471840415	12.3924439628369	3.08546341152257	11.1865667501696	2.67381665088525	6.72418675243992
f_Anaerovoracaceae	g_Amnipila	<0.5	0.916284551979386	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	0.621699287267079
f_Anaerovoracaceae	g_Anaerovorax	<0.5	<0.5	<0.5	<0.5	<0.5	<0.5	0.671099665830739	<0.5	0.702667120306289
f_Acidaminococcaceae	g_u_f_Acidaminococcaceae	<0.5	1.94006596694904	12.7392168867148	<0.5	9.41517288721715	0.718500217682164	12.6584123075291	<0.5	13.6028093113478
