SampleID	Group
D00C01	D00C
D00C02	D00C
D00C03	D00C
D00C04	D00C
D00C05	D00C
D00C06	D00C
D00C07	D00C
D00C08	D00C
D00C09	D00C
D00C10	D00C
D00C11	D00C
D00C12	D00C
D00C13	D00C
D00C14	D00C
D00C15	D00C
D00C16	D00C
D00C17	D00C
D00C18	D00C
D00C19	D00C
D00C20	D00C
D05C01	D05C
D05C02	D05C
D05C03	D05C
D05C04	D05C
D05C05	D05C
D05C06	D05C
D05C07	D05C
D05C08	D05C
D05C09	D05C
D05C10	D05C
D05C11	D05C
D05C12	D05C
D05C13	D05C
D05C14	D05C
D05C15	D05C
D05C16	D05C
D05C17	D05C
D05C18	D05C
D05C19	D05C
D05C20	D05C
D05M01	D05M
D05M02	D05M
D05M03	D05M
D05M04	D05M
D05M05	D05M
D05M06	D05M
D05M07	D05M
D05M08	D05M
D05M09	D05M
D05M10	D05M
D05M11	D05M
D05M12	D05M
D05M13	D05M
D05M14	D05M
D05M15	D05M
D05M16	D05M
D05M17	D05M
D05M18	D05M
D05M19	D05M
D05M20	D05M
D12C01	D12C
D12C02	D12C
D12C03	D12C
D12C04	D12C
D12C05	D12C
D12C06	D12C
D12C07	D12C
D12C08	D12C
D12C09	D12C
D12C10	D12C
D12C11	D12C
D12C12	D12C
D12C13	D12C
D12C14	D12C
D12C15	D12C
D12C16	D12C
D12C17	D12C
D12C18	D12C
D12C19	D12C
D12C20	D12C
D12M01	D12M
D12M02	D12M
D12M03	D12M
D12M04	D12M
D12M05	D12M
D12M06	D12M
D12M07	D12M
D12M08	D12M
D12M09	D12M
D12M10	D12M
D12M11	D12M
D12M12	D12M
D12M13	D12M
D12M14	D12M
D12M15	D12M
D12M16	D12M
D12M17	D12M
D12M18	D12M
D12M19	D12M
D12M20	D12M
D21C01	D21C
D21C02	D21C
D21C03	D21C
D21C04	D21C
D21C05	D21C
D21C06	D21C
D21C07	D21C
D21C08	D21C
D21C09	D21C
D21C10	D21C
D21C11	D21C
D21C12	D21C
D21C13	D21C
D21C14	D21C
D21C15	D21C
D21C16	D21C
D21C17	D21C
D21C18	D21C
D21C19	D21C
D21C20	D21C
D21M01	D21M
D21M02	D21M
D21M03	D21M
D21M04	D21M
D21M05	D21M
D21M06	D21M
D21M07	D21M
D21M08	D21M
D21M09	D21M
D21M10	D21M
D21M11	D21M
D21M12	D21M
D21M13	D21M
D21M14	D21M
D21M15	D21M
D21M16	D21M
D21M17	D21M
D21M18	D21M
D21M19	D21M
D21M20	D21M
D30C01	D30C
D30C02	D30C
D30C03	D30C
D30C04	D30C
D30C05	D30C
D30C06	D30C
D30C07	D30C
D30C08	D30C
D30C09	D30C
D30C10	D30C
D30C11	D30C
D30C12	D30C
D30C13	D30C
D30C14	D30C
D30C15	D30C
D30C16	D30C
D30C17	D30C
D30C18	D30C
D30C19	D30C
D30C20	D30C
D30M01	D30M
D30M02	D30M
D30M03	D30M
D30M04	D30M
D30M05	D30M
D30M06	D30M
D30M07	D30M
D30M08	D30M
D30M09	D30M
D30M10	D30M
D30M11	D30M
D30M12	D30M
D30M13	D30M
D30M14	D30M
D30M15	D30M
D30M16	D30M
D30M17	D30M
D30M18	D30M
D30M19	D30M
D30M20	D30M
