gpPairs	adonis.F	adonis.p	anosim.r	anosim.p	mrpp.delta	mrpp.p
D00C_vs_D05C	65.6474252701682	0.001	0.892065789473684	0.001	0.149857582095635	0.001
D00C_vs_D12C	84.7608231089193	0.001	0.857736842105263	0.001	0.153149299804793	0.001
D00C_vs_D21C	84.9994615185454	0.001	0.881736842105263	0.001	0.179511814280799	0.001
D00C_vs_D30C	308.865688496267	0.001	1	0.001	0.154675028572713	0.001
D00C_vs_D05M	258.750319237118	0.001	0.99896052631579	0.001	0.123731406511899	0.001
D00C_vs_D12M	9.71025986092821	0.001	0.633078947368421	0.001	0.125433791153948	0.001
D00C_vs_D21M	140.495187530763	0.001	0.974434210526316	0.001	0.117986629694677	0.001
D00C_vs_D30M	35.3302996272139	0.001	0.680078947368421	0.001	0.134913861370717	0.001
D05C_vs_D05M	53.3156833464968	0.001	0.889671052631579	0.001	0.156589385595316	0.001
D12C_vs_D12M	61.0656590145817	0.001	0.793894736842105	0.001	0.161583487946523	0.001
D21C_vs_D21M	18.0498678031131	0.001	0.535671052631579	0.001	0.180498840963259	0.001
D30C_vs_D30M	225.17415448738	0.001	1	0.001	0.172589286931213	0.001
